Datetime;Level;Name;Price
2022:08:21 20:31:34;44.0;Métamorph;3900
2022:08:21 16:17:15;44.0;Métamorph;3900
2022:08:21 16:17:15;0.0;Métamorph;4000
2022:08:21 16:17:15;44.0;Métamorph;4000
2022:08:21 16:17:15;0.0;Métamorph;4000
2022:08:21 16:17:15;41.0;Métamorph;4000
2022:08:21 16:17:15;43.0;Métamorph;4000
2022:08:21 16:17:15;44.0;Métamorph;4000
2022:08:21 16:17:15;45.0;Métamorph;4000
2022:08:21 16:17:15;43.0;Métamorph;4000
2022:08:21 16:17:15;40.0;Métamorph;4000
2022:08:21 16:17:15;44.0;Métamorph;3900
2022:08:21 16:17:15;0.0;Métamorph;4000
2022:08:21 16:17:15;44.0;Métamorph;4000
2022:08:21 16:17:15;0.0;Métamorph;4000
2022:08:21 16:17:15;41.0;Métamorph;4000
2022:08:21 16:17:15;43.0;Métamorph;4000
2022:08:21 16:17:15;44.0;Métamorph;4000
2022:08:21 16:17:15;45.0;Métamorph;4000
2022:08:21 16:17:15;43.0;Métamorph;4000
2022:08:21 16:17:15;40.0;Métamorph;4000
2022:08:23 00:10:08;13.0;Roucool;1050
2022:08:23 00:10:08;15.0;Roucool;1050
2022:08:23 00:10:08;12.0;Roucool;1050
2022:08:23 00:10:08;13.0;Roucool;1050
2022:08:23 00:10:08;12.0;Roucool;1050
2022:08:23 00:10:08;12.0;Roucool;1050
2022:08:23 00:10:08;0.0;Roucool;1050
2022:08:23 00:10:08;6.0;Roucool;1050
2022:08:23 00:10:08;2.0;Roucool;1200
2022:08:23 00:10:08;0.0;Roucool;1330
2022:08:23 00:10:20;24.0;Chapignon;7500
2022:08:23 00:10:20;61.0;Chapignon;8599
2022:08:23 00:10:20;61.0;Chapignon;8699
2022:08:23 00:10:20;61.0;Chapignon;8888
2022:08:23 00:10:20;61.0;Chapignon;9000
2022:08:23 00:10:20;61.0;Chapignon;9000
2022:08:23 00:10:20;61.0;Chapignon;9000
2022:08:23 00:10:20;25.0;Chapignon;9500
2022:08:23 00:10:20;63.0;Chapignon;9500
2022:08:23 00:10:20;61.0;Chapignon;10000
2022:08:23 00:10:36;37.0;Typhlosion;25000
2022:08:23 00:10:36;37.0;Typhlosion;25000
2022:08:23 00:10:36;37.0;Typhlosion;29999
2022:08:23 00:10:36;37.0;Typhlosion;29999
2022:08:23 00:10:36;37.0;Typhlosion;29999
2022:08:23 00:10:36;36.0;Typhlosion;30000
2022:08:23 00:10:36;37.0;Typhlosion;30000
2022:08:23 00:10:36;37.0;Typhlosion;34999
2022:08:23 00:10:36;37.0;Typhlosion;35000
2022:08:23 00:10:36;37.0;Typhlosion;35000
2022:08:21 16:17:15;44.0;Métamorph;3900
2022:08:21 16:17:15;0.0;Métamorph;4000
2022:08:21 16:17:15;44.0;Métamorph;4000
2022:08:21 16:17:15;0.0;Métamorph;4000
2022:08:21 16:17:15;41.0;Métamorph;4000
2022:08:21 16:17:15;43.0;Métamorph;4000
2022:08:21 16:17:15;44.0;Métamorph;4000
2022:08:21 16:17:15;45.0;Métamorph;4000
2022:08:21 16:17:15;43.0;Métamorph;4000
2022:08:21 16:17:15;40.0;Métamorph;4000
2022:08:23 00:10:08;13.0;Roucool;1050
2022:08:23 00:10:08;15.0;Roucool;1050
2022:08:23 00:10:08;12.0;Roucool;1050
2022:08:23 00:10:08;13.0;Roucool;1050
2022:08:23 00:10:08;12.0;Roucool;1050
2022:08:23 00:10:08;12.0;Roucool;1050
2022:08:23 00:10:08;0.0;Roucool;1050
2022:08:23 00:10:08;6.0;Roucool;1050
2022:08:23 00:10:08;2.0;Roucool;1200
2022:08:23 00:10:08;0.0;Roucool;1330
2022:08:23 00:10:20;24.0;Chapignon;7500
2022:08:23 00:10:20;61.0;Chapignon;8599
2022:08:23 00:10:20;61.0;Chapignon;8699
2022:08:23 00:10:20;61.0;Chapignon;8888
2022:08:23 00:10:20;61.0;Chapignon;9000
2022:08:23 00:10:20;61.0;Chapignon;9000
2022:08:23 00:10:20;61.0;Chapignon;9000
2022:08:23 00:10:20;25.0;Chapignon;9500
2022:08:23 00:10:20;63.0;Chapignon;9500
2022:08:23 00:10:20;61.0;Chapignon;10000
2022:08:23 00:10:36;37.0;Typhlosion;25000
2022:08:23 00:10:36;37.0;Typhlosion;25000
2022:08:23 00:10:36;37.0;Typhlosion;29999
2022:08:23 00:10:36;37.0;Typhlosion;29999
2022:08:23 00:10:36;37.0;Typhlosion;29999
2022:08:23 00:10:36;36.0;Typhlosion;30000
2022:08:23 00:10:36;37.0;Typhlosion;30000
2022:08:23 00:10:36;37.0;Typhlosion;34999
2022:08:23 00:10:36;37.0;Typhlosion;35000
2022:08:23 00:10:36;37.0;Typhlosion;35000
2022:08:21 16:17:15;44.0;Métamorph;3900
2022:08:21 16:17:15;0.0;Métamorph;4000
2022:08:21 16:17:15;44.0;Métamorph;4000
2022:08:21 16:17:15;0.0;Métamorph;4000
2022:08:21 16:17:15;41.0;Métamorph;4000
2022:08:21 16:17:15;43.0;Métamorph;4000
2022:08:21 16:17:15;44.0;Métamorph;4000
2022:08:21 16:17:15;45.0;Métamorph;4000
2022:08:21 16:17:15;43.0;Métamorph;4000
2022:08:21 16:17:15;40.0;Métamorph;4000
2022:08:23 00:10:08;13.0;Roucool;1050
2022:08:23 00:10:08;15.0;Roucool;1050
2022:08:23 00:10:08;12.0;Roucool;1050
2022:08:23 00:10:08;13.0;Roucool;1050
2022:08:23 00:10:08;12.0;Roucool;1050
2022:08:23 00:10:08;12.0;Roucool;1050
2022:08:23 00:10:08;0.0;Roucool;1050
2022:08:23 00:10:08;6.0;Roucool;1050
2022:08:23 00:10:08;2.0;Roucool;1200
2022:08:23 00:10:08;0.0;Roucool;1330
2022:08:23 00:10:20;24.0;Chapignon;7500
2022:08:23 00:10:20;61.0;Chapignon;8599
2022:08:23 00:10:20;61.0;Chapignon;8699
2022:08:23 00:10:20;61.0;Chapignon;8888
2022:08:23 00:10:20;61.0;Chapignon;9000
2022:08:23 00:10:20;61.0;Chapignon;9000
2022:08:23 00:10:20;61.0;Chapignon;9000
2022:08:23 00:10:20;25.0;Chapignon;9500
2022:08:23 00:10:20;63.0;Chapignon;9500
2022:08:23 00:10:20;61.0;Chapignon;10000
2022:08:23 00:10:36;37.0;Typhlosion;25000
2022:08:23 00:10:36;37.0;Typhlosion;25000
2022:08:23 00:10:36;37.0;Typhlosion;29999
2022:08:23 00:10:36;37.0;Typhlosion;29999
2022:08:23 00:10:36;37.0;Typhlosion;29999
2022:08:23 00:10:36;36.0;Typhlosion;30000
2022:08:23 00:10:36;37.0;Typhlosion;30000
2022:08:23 00:10:36;37.0;Typhlosion;34999
2022:08:23 00:10:36;37.0;Typhlosion;35000
2022:08:23 00:10:36;37.0;Typhlosion;35000
